item_id,item_name,description,category,brand,model,serial_number,barcode,rfid_tag,supplier_id,supplier_name,purchase_date,cost_price,selling_price,currency,quantity_in_stock,reorder_level,reorder_quantity,unit,warehouse,location,status,created_at,updated_at,created_by,updated_by,notes
RT1235-45,"12"" X 36"" Tank, 4.5"" top opening","12"" X 36"" Tank, 4.5"" top opening",,,,,,,,,,190.00,,,4,,,,,,,,,,,
RT1447-45-RB,"14"" X 47"" Tank, 4.5"" top opening","14"" X 47"" Tank, 4.5"" top opening",,,,,,,,,,238.15,,,6,,,,,,,,,,,
RT844,"8"" X 44"" Tank, 2.5"" top opening","8"" X 44"" Tank, 2.5"" top opening",,,,,,,,,,69.50,,,2,,,,,,,,,,,
XTA-45-3-1-IS-SS-FC-OR,"Flow Manifold, 4.5"" thread, 1"" Female NPT inlet/outlet/fill port","Flow Manifold, 4.5"" thread, 1"" Female NPT inlet/outlet/fill port",,,,,,,,,,30.72,,,10,,,,,,,,,,,
TH-XPI-25-3-81-SS-IS-OR,"Flow Manifold, 2.5"" thread, 13/16"" Riser Pilot, 3/4"" Female NPT inlet/outlet/fill port","Flow Manifold, 2.5"" thread, 13/16"" Riser Pilot, 3/4"" Female NPT inlet/outlet/fill port",,,,,,,,,,35.26,,,2,,,,,,,,,,,
RTA-DS4,"Bottom basket, 1"" riser pilot","Bottom basket, 1"" riser pilot",,,,,,,,,,9.75,,,10,,,,,,,,,,,
RTA-DS190-81,"Bottom basket, 13/16"" riser pilot","Bottom basket, 13/16"" riser pilot",,,,,,,,,,4.37,,,2,,,,,,,,,,,
TF-PVC-100-4,"Riser tube, 1"", 4 Feet","Riser tube, 1"", 4 Feet",,,,,,,,,,8.50,,,10,,,,,,,,,,,
TF-PVC-81-4,"Riser tube, 13/16"", 4 Feet long","Riser tube, 13/16"", 4 Feet long",,,,,,,,,,3.35,,,2,,,,,,,,,,,
UMA-100,"Female Union X 1"" NPT","Female Union X 1"" NPT",,,,,,,,,,7.10,,,10,,,,,,,,,,,
MA-100,"Male Union X 1"" NPT","Male Union X 1"" NPT",,,,,,,,,,4.43,,,10,,,,,,,,,,,
UHB-100,"Female Union X 1"" Hose Barb","Female Union X 1"" Hose Barb",,,,,,,,,,7.10,,,10,,,,,,,,,,,
HB-100,"Male Union X 1"" Hose Barb","Male Union X 1"" Hose Barb",,,,,,,,,,4.43,,,10,,,,,,,,,,,
UMA-75,"Female Union X 3/4"" NPT","Female Union X 3/4"" NPT",,,,,,,,,,7.10,,,2,,,,,,,,,,,
MA-75,"Male Union X 3/4"" NPT","Male Union X 3/4"" NPT",,,,,,,,,,4.43,,,2,,,,,,,,,,,
UHB-75,"Female Union X 3/4"" Hose Barb","Female Union X 3/4"" Hose Barb",,,,,,,,,,7.10,,,2,,,,,,,,,,,
HB-75,"Male Union X 3/4"" Hose Barb","Male Union X 3/4"" Hose Barb",,,,,,,,,,4.43,,,2,,,,,,,,,,,
PLUG-UN,"Male Union- Plug","Male Union- Plug",,,,,,,,,,2.57,,,12,,,,,,,,,,,
CAP-MA,"Female Union- Cap","Female Union- Cap",,,,,,,,,,2.20,,,12,,,,,,,,,,,
